Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
15.0,2007,85.0,154.0,1338.0,2.0,1.0,18.0,0.0,1.0,9.6,192415,379.0,102.0,1.0,5.0,4,5,10999.0
45.0,2016,239.0,145.0,2117.0,2.0,1.0,16.0,1.0,5.0,5.8,209628,264.0,293.0,1.0,4.0,4,5,13995.0
2.0,2009,4.0,24.0,3522.0,0.0,1.0,2.0,2.0,4.0,8.8,134916,157.0,46.0,0.0,3.0,4,5,9990.0
18.0,2015,185.0,145.0,2266.0,2.0,1.0,7.0,1.0,5.0,6.9,146059,416.0,14.0,1.0,4.0,4,5,11995.0
46.0,2014,277.0,145.0,1052.0,2.0,1.0,11.0,1.0,4.0,9.5,207234,21.0,161.0,1.0,4.0,4,5,19995.0
24.0,2016,245.0,145.0,1671.0,2.0,1.0,31.0,1.0,1.0,7.0,99459,311.0,411.0,3.0,4.0,4,5,34950.0
45.0,2017,69.0,127.0,2786.0,2.0,1.0,16.0,2.0,2.0,7.5,37811,338.0,276.0,1.0,3.0,4,5,39990.0
18.0,2012,292.0,145.0,3119.0,2.0,1.0,7.0,2.0,5.0,8.9,181747,170.0,46.0,1.0,4.0,4,5,11800.0
29.0,2020,94.0,145.0,2935.0,2.0,1.0,16.0,1.0,5.0,8.0,79801,157.0,276.0,1.0,4.0,4,5,46990.0
15.0,2018,91.0,127.0,721.0,2.0,1.0,9.0,2.0,5.0,7.4,86144,311.0,95.0,1.0,3.0,4,5,21990.0
1.0,2013,38.0,127.0,35.0,2.0,1.0,26.0,2.0,4.0,7.8,120720,139.0,161.0,3.0,3.0,4,5,16880.0
44.0,2015,294.0,145.0,2093.0,2.0,1.0,5.0,2.0,5.0,6.6,201306,60.0,432.0,1.0,4.0,4,5,12999.0
15.0,2022,91.0,127.0,1608.0,2.0,1.0,9.0,2.0,5.0,6.7,12412,234.0,276.0,1.0,3.0,4,5,24990.0
33.0,2019,50.0,145.0,1451.0,2.0,1.0,11.0,2.0,5.0,8.1,41988,15.0,256.0,1.0,4.0,4,5,52888.0
33.0,2015,50.0,145.0,2707.0,2.0,1.0,11.0,2.0,5.0,7.1,117106,311.0,8.0,1.0,4.0,4,5,21488.0
45.0,2014,69.0,127.0,2786.0,2.0,1.0,16.0,2.0,2.0,7.3,85601,264.0,42.0,1.0,3.0,4,5,17999.0
18.0,2015,174.0,145.0,739.0,2.0,2.0,11.0,2.0,5.0,7.8,70759,294.0,306.0,1.0,4.0,4,5,24990.0
25.0,2015,274.0,154.0,2660.0,2.0,1.0,18.0,0.0,1.0,5.7,197191,311.0,86.0,1.0,5.0,4,5,12999.0
